phone_id,n_body_weight,n_display_size,n_battery_capacity,n_total_cpu_speed,n_ram,n_main_camera_resolution,n_internal_memory,cluster
522,167,5.5,3300,17.6,2,8,16,2
523,167,5.7,3200,18.4,4,12,64,3
524,179,5.7,3300,18.4,4,13,32,3
525,181,5.5,3600,12.8,3,13,16,2
526,160,5.2,3000,12.8,2,13,16,2
527,142,5,2400,5.6,2,13,16,1
528,165,3.8,1950,5.6,2,8,16,0
529,143,4.5,2050,6,1,5,8,0
530,155,5.8,3000,18.4,4,12,64,3
531,173,6.2,3500,18.4,6,12,128,3
532,145,5.2,2600,17.6,4,16,64,3
533,172,5,2800,5.6,2,13,16,1
534,429,9.7,6000,8.4,4,13,32,3
535,126,4,1500,6,1,5,8,0
536,147,5,2600,11.2,1.5,5,16,1
537,172,5.7,3300,17.6,4,16,64,3
538,186,5.7,3600,15.2,3,16,32,3
539,138,4.7,2350,12.8,2,13,16,1
540,160,5,2600,5.6,1.5,8,8,1
541,160,5,2600,5.6,1.5,8,8,1
542,189,6,4000,15.2,6,16,64,3
543,182,5.7,3300,16.8,3,16,32,3
544,169,5.5,3300,12.8,3,13,16,2
545,167,5.5,3300,16,3,13,32,3
546,127,4,1500,6,1,5,8,0
547,172,5.5,3000,4.8,2,13,16,1
548,149,5,2600,5.2,2,8,16,1
549,289,7,4000,6,1.5,8,8,2
550,138,5,2600,6,2,8,16,1
551,138,5,2600,6,1.5,8,8,0
552,154,4.5,2200,5.2,1.5,5,8,0
553,184,5.1,4000,8.4,4,12,32,2
554,139,5,2600,4.8,2,8,16,1
555,210,6,5000,14.4,4,16,32,3
556,170,5.5,3300,12.8,2,13,16,2
557,159,5.2,3100,4.8,2,13,16,1
558,283,7,4000,5.2,1.5,5,8,1
559,157,5.5,3600,8.4,4,12,32,2
560,152,5.1,3000,8.4,4,12,32,2
561,123,4,1500,4.8,1,5,8,0
562,360,8,5000,5.2,1.5,5,16,2
563,131,4.5,2050,5.2,1,5,8,0
564,200,6,4000,14.4,3,13,32,3
565,172,5.5,3300,12.8,3,13,16,2
566,155,5.2,2900,12.8,2,13,16,2
567,132,4.7,2300,6,1.5,13,16,0
568,138,5,2600,5.2,1.5,5,16,0
569,172,5.5,3000,4.8,1.5,13,8,1
570,149,5,2600,5.2,1.5,8,8,0
571,137,5,2600,5.2,1,8,8,0
572,145,5.1,2800,12.8,2,16,16,2
573,107,4.3,1900,4.8,1.5,8,8,0
574,155,3.8,1800,4.8,1.5,8,8,0
575,151,5.7,3050,14.4,2,16,32,2
576,151,5.7,3050,14.4,2,16,32,2
577,171,5.5,3000,11.2,1.5,13,16,2
578,170,5.5,3000,12.8,2,13,16,2
579,322,7,3600,5.2,1,2,8,1
580,490,9.7,6000,4.8,2,5,16,2
581,450,9.7,6000,4.8,1.5,5,16,2
582,338,8,4200,4.8,2,5,16,2
583,313,8,4200,4.8,1.5,5,16,2
584,154,4.5,2200,4.8,1.5,5,8,0
585,129,4.7,2000,5.2,1,5,8,0
586,141,5.5,2600,12,2,13,16,2
587,141,5.5,2600,12,2,13,16,2
588,161,5.25,2500,4.8,1.5,13,16,1
589,141,5.5,2950,4.8,2,13,16,1
590,130,4.5,2000,4.8,1,5,8,0
591,123,5,2300,4.8,2,13,16,1
592,123,5,2300,4.8,2,13,16,1
593,110,4.5,1900,4.8,1,8,16,0
594,152,5,2600,4.8,1,8,8,0
595,156,5,2600,4.8,1,8,8,0
596,126,4.3,1900,4.8,1,5,8,0
597,175,5.7,3000,10.8,3,16,16,2
598,176,5.7,3220,10.8,3,16,32,2
599,176,5.7,3220,10.8,3,16,32,2
600,393,8,4450,4.8,1.5,3,16,2
601,194,6,2800,6,1.5,8,16,1
602,115,4.7,1860,10,2,12,32,1
603,115,4.7,1860,14.4,2,12,32,1
604,118,4.5,2100,5.6,1.5,8,16,0
605,136,4.5,2100,4.8,1.5,5,16,0
606,120,4.5,2100,5.6,1.5,8,16,0
607,130,4,1800,2.4,1,5,4,0
608,158,5.1,2800,10,2,16,16,1
609,149,4.7,2000,4.8,1,5,8,0
610,132,4.8,2100,5.6,1.5,8,16,0
611,245,7,3200,4.8,1.5,8,16,1
612,200,4.8,2430,7.8,2,20,8,1
613,132,4.8,2100,4.8,1.5,8,16,0
614,135,5,2600,9.2,2,13,16,1
615,320,8,4450,4.8,1.5,3,16,2
616,320,8,4450,4.8,1.5,3,16,2
617,487,10.1,6800,4.8,1.5,3,16,2
618,487,10.1,6800,4.8,1.5,3,16,2
619,139,4.52,2100,4.8,1,5,8,0
620,145,5.1,2800,10,2,16,16,1
621,144,5.1,2800,10,2,16,16,1
622,137,4.5,2100,4.8,1.5,5,16,0
623,137,4.5,2100,2.4,1,5,8,0
624,322,7,3600,2.4,1,2,8,1
625,145,4.7,2000,2.4,1,5,8,0
626,146,5,2600,9.2,3,13,16,1
627,163,5.25,2600,4.8,1.5,8,8,0
628,179,3.7,1820,3.4,1.5,8,16,0
629,134,4.5,2100,3.4,1.5,5,8,0
630,154,5.7,2800,9.2,3,13,32,2
631,208,4.3,2330,3,1.5,16,8,0
632,119,3.8,1500,2,1,5,4,0
633,182,5.8,2600,2.8,1.5,8,8,0
634,139,4.5,2000,2.4,1,5,8,0
635,148,4,1700,2,1,5,4,0
636,121,4.3,1650,2.4,1,8,8,0
637,131,4.8,2100,5.6,2,8,16,0
638,146,6.2,3130,20.8,6,22,128,3
639,140,5.5,3020,17.6,6,16,64,3
640,185,5.7,3100,14.4,4,16,64,3
641,160,5.5,3000,23,4,16,32,3
642,151,5.5,2600,10.4,3,13,64,2
643,168,5.7,3000,12,3,13,32,2
644,154,5.2,2030,4.8,2,8,16,0
645,141,5,2040,4.8,1.5,8,8,0
646,153,5,2200,4,1,13,16,0
647,207,6,2500,4,1,13,16,1
648,170,5.5,2600,5.2,1,8,8,0
649,161,5,1850,5.2,1,8,8,0
650,172,5.5,2600,5.2,1,8,8,0
651,130,4.5,1700,4.8,1,8,8,0
652,112,5,1900,5.2,1,8,8,0
653,135,5,2100,5.2,1,8,8,0
654,140,5,2000,4.8,1,8,4,0
655,150,6.22,3260,16,4,13,64,3
656,137,5,2500,5.6,2,8,16,1
657,139,5.7,3000,14.4,4,16,32,3
658,160,5.99,3225,14.4,4,16,64,3
659,157,5.5,3000,5.6,3,13,16,1
660,162,5.5,3000,12,3,13,32,2
661,137,5,2500,5.6,2,8,16,1
662,183,5.85,4015,15.2,4,16,64,3
663,154,5.5,3320,14.4,4,16,64,3
664,154,5.5,3000,12,4,13,64,3
665,142,5.2,2650,11.2,2,8,16,1
666,158,5.5,3160,16,4,16,64,3
667,154,5.5,3000,12,4,13,32,2
668,199,5.88,4000,15.2,6,16,64,3
669,154,5.5,3000,12,4,13,32,2
670,183,5.7,4000,14.4,4,16,64,3
671,151,5.2,3000,14.4,4,13,64,3
672,168,5.5,3000,14.4,4,13,32,3
673,172,5.7,3000,14.4,4,16,64,3
674,140,5.2,2400,14.4,4,13,64,3
675,167,5.43,3600,8.4,6,16,128,3
676,167,5.43,3600,14.4,4,16,128,3
677,157,5,2350,4.8,2,8,16,0
678,137,4.7,2100,5.2,1,8,8,0
679,153,5,2300,4.8,2,13,16,1
680,194,5.5,4150,13.6,3,13,32,2
681,151,5.2,2450,12,2,13,16,2
682,156,5.5,2300,13.6,2,13,16,2
683,150,5,2000,13.6,1,13,16,1
684,156,4.7,2100,5.2,1,8,8,0
685,164,6,3000,14.4,4,16,64,3
686,153,6,3000,11.2,3,13,32,2
687,162,5.7,3000,11.2,4,16,64,3
688,141,4.5,2000,5.2,1,5,4,0
689,175,5,2500,5.2,1,8,8,0
690,143,5,2350,8,2,16,16,1
691,124,4.7,2000,11.2,1,8,8,1
692,119,4.7,2000,6.8,1,8,4,0
693,180,6.26,4000,14.4,4,12,64,3
694,137,5,3000,5.6,1,8,8,0
695,342,8,6000,17.6,4,13,64,3
696,485,10.1,8620,17.6,4,13,128,3
697,180,5.99,4000,16,4,12,64,3
698,137,5,3000,5.6,3,13,32,1
699,153,5.5,3080,11.2,4,13,64,3
700,185,5.99,3400,19.2,8,12,128,3
701,150,5,4100,11.2,4,13,64,3
702,135,5.15,2860,17.6,3,12,64,3
703,165,5.5,4100,16,4,13,64,3
704,165,5.5,4100,16,4,13,64,3
705,156,5,4100,11.2,2,13,16,2
706,156,5,4100,16,3,13,32,3
707,209,6.4,4400,9.2,6,16,256,3
708,145,5.15,3200,8.4,4,12,128,2
709,175,5.5,4100,21,2,13,16,3
710,144,5,4100,11.2,2,13,32,2
711,144,5,4100,11.2,3,13,32,2
712,144,5,4100,11.2,2,13,16,2
713,144,5,4100,12,3,13,32,2
714,129,5.15,3000,7.2,4,16,128,2
715,203,6.44,4850,8.4,2,16,16,2
716,133,5,3260,8.4,3,13,64,2
717,164,5.5,4050,8.4,2,16,16,2
718,144,5,4100,12,2,13,16,2
