phone_id,n_network_technology,n_body_weight,n_display_type,n_display_size,n_micro_sdcard,n_sound_3p5mm,n_bluetooth,n_gps,n_comms_usb,n_usb_conn,n_fingerprint,n_android_ver,n_main_camera_resolution,n_main_camera_af,n_main_camera_ois,n_battery_capacity,n_total_cpu_speed,n_internal_memory,n_ram
229,4,156,0,4.7,1,1,4.1,1,2,2,0,5.1,8,1,0,2000,4.4,8,1.5
230,4,155,0,5.2,1,1,4.1,1,2,2,1,5.2,20,1,0,2840,17.6,32,3
231,4,154,2,5.5,1,1,4,1,2,2,0,4.4,13,1,0,2600,13.6,16,1
232,3,146,0,4.5,1,1,4,1,2,2,0,4.4,8,1,0,2000,4.8,8,1
233,4,150,0,5.5,1,1,4.1,1,2,2,0,5,20,1,0,2800,16,32,3
234,3,147,0,5.5,1,1,4.1,1,2,2,0,5,13,1,0,2800,16,16,2
235,4,157,0,5,1,1,4.1,1,2,2,0,5,20,1,0,2840,12,32,3
236,3,155,2,5.5,1,1,4,1,2,2,0,4.4,13,1,0,2600,13.6,16,2
237,3,138,2,5,1,1,4,1,2,2,0,4.4,13,1,0,2000,13.6,8,1
238,4,183,0,5.5,1,1,4.1,1,2,2,0,5,13,1,0,2600,13.6,16,2
239,4,145,1,4.5,1,1,4,1,2,2,0,4.4,5,1,0,2100,5.2,8,1
240,4,160,0,5,1,1,4,1,2,2,0,4.4,8,1,0,2100,13.6,8,1
241,4,160,0,5,1,1,4,1,2,2,0,4.4,8,1,0,2100,4.8,8,1
242,4,160,0,5,1,1,4,1,2,2,0,4.4,13,1,0,2600,9.2,16,2
243,4,154,2,5.2,1,1,4,1,2,2,0,4.4,13,1,0,2400,9.2,16,2
244,4,146,0,4.7,1,1,4,1,2,2,0,4.4,8,1,0,2040,4.8,8,1
245,4,155,1,5.5,1,1,4,1,2,2,0,4.4,13,1,0,2600,4.8,16,1
246,3,155,0,5.5,1,1,4,1,2,2,0,4.4,13,1,0,2600,13.6,16,2
247,4,155,0,5.5,1,1,4,1,2,2,0,4.4,13,1,0,2600,12,16,2
248,4,164,0,5,1,1,4,1,2,2,0,4.4,13,1,0,2600,9.2,16,2
249,4,158,2,4.7,1,1,4,1,2,2,0,4.4,5,0,0,2100,4.8,8,1
250,3,160,0,5,1,1,4,1,2,2,0,8.1,4,1,0,2600,9.2,32,2
251,4,160,0,5,1,1,4,1,2,2,0,8.1,4,1,0,2600,9.2,32,2
252,3,137,0,4.5,1,1,4,1,2,2,0,4.4,13,1,0,2100,4.8,16,1.5
253,4,160,0,5,1,1,4,1,2,2,0,4.4,4,1,0,2600,9.2,16,2
